序号	时机	人物1	位置1	对白1	人物2	位置2	对白2	人物3	位置3	对白3	人物4	位置4	对白4	人物5	位置5	对白5	人物6	位置6	对白6	人物7	位置7	对白7	空列
78	1	86	2	呂布：奇怪，我記得我在洛陽郊外駐軍，正要去營救天子，怎麼就出現在這裏，還被你們綁了起來。	-5	2	劉備：哎呀，帥鍋，是醬紫的，之前你被張角下了迷魂藥，在山裏走丟了，昏倒在樹下，是我救了你...你看，你還記得我麼？我就是小倩啊， 嘻嘻……	-9	2	諸葛亮：切....花癡也不是這樣沒水準吧	-1	1	我：奉先兄弟，之前你被張角邪術所迷，與朝廷為敵。現在邪術已除，你已做回自己了。何不與我們一起，誅滅張角，匡扶漢室？	86	2	呂布：甚好，這正是末將職責所在！							
79	0	-9	2	諸葛亮：這下慘了，傳國玉璽定是被張角派人給盜走的！	-1	1	我：不如我們現在派兵去追回來，說不定還來的及	-9	2	諸葛亮：也好，只是張角一定有大軍接應，我們要小心應對。													
80	0	90002	1	A將：主公，探子回報，張角已拿到傳國玉璽，並稱自己是君命天授，準備在洛陽舉行登基大典了！	-1	1	我：怎麼這幫古代人都這麼喜歡當皇帝？沒看歷史書上寫的皇帝都是精盡人亡的下場麼？	-9	2	諸葛亮：我倒覺得稱帝可能只是個幌子罷了。	-1	1	我：諸葛亮何出此言？	-9	2	諸葛亮：主公打完此仗我們再詳談不遲。							
81	0	90014	2	黃巾：我乃天公將軍麾下神威騎，知我們威名的就趕緊下馬受降，不然休怪我不給爾等留個全屍！	-9	2	諸葛亮：主公你看，張角要稱帝，其精銳不用來保護都城，卻遠道而來對付我們？這是為何？	-1	1	我：可能是覺得我們這邊兵多將廣，所以必須除掉我們？	-9	2	諸葛亮：非也，消滅了這群神威騎，你自然知道。	-1	1	我：諸葛亮，你是開啟裝逼模式了麼？							
82	1	-9	2	諸葛亮：主公你看，這是從這些神威騎身上搜出的密令，張角要他們不惜一切組織我們奪回傳國玉璽	-1	1	我：看來張角是怕我們拿走玉璽他無法稱帝了？	-9	2	諸葛亮：不，稱帝很可能只是個幌子，張角老謀深算，不應該匆忙稱帝，一定是想要轉移我們的視線。	-1	1	我：我去，他到底想要幹啥呢?										
83	0	94	2	司馬懿：天公將軍不日在洛陽繼位，爾等何苦還要做無謂的掙扎？	-1	1	我：司馬懿！我去啊，這下玩大了，司馬懿都變成張角部將了，看來我的推測沒錯，時間線因為穿越影響，已經完全變了。	-9	2	諸葛亮：主公，你也感覺到了？看來我們猜測應該是完全成真了。	-1	1	我：唉，既然已經這樣我們只能拼了，這麼多美女，我可不想屎…										
84	0	-9	2	諸葛亮：張角這次明顯是把精銳全都派出來對付我們了。玉璽恐怕以我們一己之力難以保護好啊	-1	1	我：看來玉璽一定還有我們不知道的力量，指不定能召喚出綠巨人、鋼鐵俠	-5	2	劉備：親們，不好了，黃巾軍主動攻過來了！													
85	0	90014	2	黃巾：我天公將軍已在神都洛陽繼位登基了！爾等不順天命，還與天子為敵！若現在下馬受降，可免誅九族！	-1	1	我：我去，這張角動作也真夠快的啊。	-9	2	諸葛亮：主公別急，我打探到張角其實不在洛陽，我們可如此……	-1	1	我：哈哈，真不愧是諸葛亮。對面的黃巾聽著，你爺爺這就來送你們歸西了！										
86	1	-9	2	諸葛亮：主公，張角雖然是假稱帝，但必與天下諸侯為敵了。我們可以廣結聯盟，共討張角。	-1	1	我：對啊，三國史上還有幾個大家夥沒請出山呢。	-9	2	諸葛亮：北聯曹操，東結孫吳。													
87	0	-1	1	我：這才沒走多遠，就遇上黃巾軍了，四位美人，不不不，四位猛將兄？誰領兵先上啊？	-7	2	張飛：我從一開始就跟隨主公，自然我先來！	-8	2	張遼：就你來的早？我們都是一個電梯裏擠過來的好不？	-6	2	夏侯惇：對啊，還一個展臺上當麻豆呢...	-9	2	諸葛亮：（暗自)真是群綠茶婊...							
88	0	-9	2	諸葛亮：東吳孫氏，世據江東，張角必視其為心腹大患，定會大量陳兵於邊界之處。	-8	2	張遼：怕什麼？我們穿越過來，哪個人身上沒有一兩個牛逼的技能？	-1	1	我：各位美女不可輕敵啊，萬一不小心毀容了呢？													
89	0	108	2	太史慈：站住，天公將軍有令，任何人不得前往東吳，違者立斬。	-9	2	諸葛亮：這位小哥，你看我們幾個弱女子只是想過去買點醬油回來而已，通融通融嘛，要不晚上來寒舍談談人生？	108	2	太史慈：這個.......不好，有埋伏！	-1	1	我：哈哈，美人計果然好使，太史慈雖然勇猛，可智力還是不行啊，姐妹們給我殺！										
90	1	108	2	太史慈：使如此詭計勝我，算什麼英雄好漢！	-1	1	我：我可沒說我是英雄好漢啊，我是人賤人愛，花賤花開，你只要告訴我去江東路上還有多少你們的人馬，我就放了你。	108	2	太史慈：要殺要剮悉聽尊便....只是，可以分我一個妹子麼？	-1	1	我：我去．．．．比我還沒節操！										
91	0	-1	1	我：張角果然是不放心孫權，那小子說這一路的關口都是精兵把守，各位妹紙，你們怎麼看?	-7	2	張飛：我一路殺到現在，有什麼好怕的？我只關心江東帥鍋多不多	-6	2	夏侯惇：據說東吳出美男子啊，比如周瑜，嘻嘻……	-1	1	我：什麼品味啊...既然那麼想去東吳，這後面的黃巾軍就交給你們了。										
92	0	-1	1	我：唉，一路砍人到現在，連個女盆友都木有，那些書上寫的英雄美女的劇情，我怎麼都沒趕上呢...真是悲催	-6	2	夏侯惇：可不嘛，我們幾個過來也一直單身啊。	-9	2	諸葛亮：難不成你們還想找個古代人	-1	1	我：不找古代人，就只有找我咯...嘿嘿，妥妥的	-7	2	張飛：你個色狼，這關你去打頭陣吧！							
93	0	112	2	呂蒙：站住，你們想就這樣走到東吳去麼？我已經把江夏所有的渡船都鎖上了，不過我的大刀倒是可以讓你們變成水鬼，從江裏遊過去，哈哈！	-8	2	張遼：好狂的口氣！可知你張遼奶奶也用的是長刀麼？	-1	1	我：妹子小心啊，刀劍無眼，不要傷著臉了。	-7	2	張飛：靠，人家打了這麼久也沒見你關心過！	-1	1	我：哎呀，我對每個人都很關心啦。							
94	1	-8	2	張遼：搞定了，船都鎖在岸邊的，我們找幾條船，這就準備過江吧																			
95	0	105	2	孫權：接到孟德兄飛鴿傳書，說你們來要，準備不周，有失遠迎啊。	-1	1	我：客氣了，話說我們剛才在江邊看到人去屋空的村落還有好多屍魔，是怎麼回事啊？	105	2	孫權：巾軍派出一群術士，沿江釋放瘟疫，百姓染疫後大多不治而暴斃。有的還成了屍魔，到處吃人。不論是軍營還是民間，現在都人心惶惶。	-9	2	諸葛亮：孫將軍勿憂，我們有對付黃巾術士的經驗，這些作惡多端的傢伙，就交給我們吧！										
96	0	-6	2	夏侯惇：這個瘟疫，你們說，為何三國時代黃巾就搞起了生化武器了呢？	-9	2	諸葛亮：這有什麼好奇怪的，在西方人眼裏，我們的火藥還不是神話傳說一樣的東東	-1	1	我：對付這幫黃巾術士還是要小心點，指不定又有什麼么蛾子呢？													
97	0	-1	1	我：你們這群畜生，釋放瘟疫，塗毒百姓，把活人變成妖魔，你們的良心，大大的壞啦！	-6	2	夏侯惇：大哥，你怎麼日語都冒出來了？！	90014	2	黃巾：天下那麼大，死幾個人算什麼？天公將軍是要成大事之人，別說死幾個臭泥腿子，就是把你們剁碎泡酒，也算不得什麼!	-6	2	夏侯惇：那我倒要看看最後是誰被泡在酒壇裏了！										
98	1	-1	1	我：你們這幫逗比，以為自己會放點病毒就牛逼的不得了。哥就是殺毒軟體，專治各種不服！	90014	2	黃巾：將軍饒命啊，小的也只是奉命行事，不知將軍威名，多有得罪啊。	-9	2	諸葛亮：要想活命，就老實交代，你們在江東還有多少人馬？都在什麼地方？													
99	0	-9	2	諸葛亮：主公，我們現在消滅的只是他們派到江東的小分隊而已，他們在江東的大本營不剷除的話，我擔心瘟疫還會擴散，屍魔會越來越多	-7	2	張飛：說實話，人家最怕看鬼片了，這些屍魔晚上會不會爬到我床上來啊？	-1	1	我：不用怕，要不你晚上到我帳裏來？	-9	2	諸葛亮：咳咳，主公，我跟你說正事兒呢...										
100	0	-9	2	諸葛亮：主公，那幾個術士交代說這裏就是他們的江東大本營了	-1	1	我：好極了，現在就殺進去，解除江東的生化危機吧！	-1	1	我：唉？怎麼沒有人呢？？？？	104	2	賈詡：哈哈，終於來了，鄙人號稱毒士，剛剛我想你們已經領教我毒屍的厲害了吧，哈哈，小的門來客人了接客了。	-1	1	我：賈詡，草泥馬！中埋伏了！這個大爺居然這麼變態！！							
101	1	-1	1	我：好險啊，差點要了我的小命！	-6	2	夏侯惇：要不是我和張遼在外頭側應你，你今天怕是也要變成屍魔了吧。	-1	1	我：列位姑娘對我恩重如山，小爺我今晚只有以身相許了，但是我去誰的帳裏都是對其他人的不公，不如你們一起來吧！	-1	1	我：.......哎呀，姑娘們手下留情，不要打臉啊										
102	0	-1	1	我：玄德居然....就這麼沒了？天啊，這次穿越怎麼和我看過的所有的穿越都不一樣啊，這，這太可怕了！	105	2	孫權：事已至此，節哀順變，只是當務之急是接回蔡文姬，拿到密信，找出失利的原因，才能對付黃巾亂黨啊。	-1	1	我：我這就出發，殺光黃巾逆賊，為玄德報仇雪恨！													
103	0	41	2	魏延：來的正好，我等奉天公將軍之命來此取你們的首級！	-1	1	我：魏延！好一個張角啊，各位妹子，我們一起穿越而來，今天痛失玄德，當用這些黃巾的人頭為玄德血祭！	-7	2	張飛：可惡的黃巾反賊們，拿命來償吧！													
104	0	-4	2	蔡文姬：你們可是孫將軍那邊的人？	-1	1	我：是啊....也，居然是你！那天我們在同一個電梯裏的！	-4	2	蔡文姬：唉？真巧啊，不過此時不宜敘舊，黃巾的追兵一路追殺我，馬上就要到了！	-1	1	我：不用擔心，這些傢夥，我們正要除之而後快呢！										
105	1	-1	1	我：妹子，說你有封孟德的密信要給我們是麼？	-4	2	蔡文姬：正是，你看下吧	-1	1	我：（拿過信）天啊，原來傳國玉璽中藏有巨大的能量可以改變物質的屬性，曹操他們戰敗被殺，就是因為張角用這種能量打造了一支無敵軍團！	-9	2	諸葛亮：果然張角是以稱帝為幌子，背地裏開啟了傳國玉璽。	-1	1	我：這下，玩兒大了！							
106	0	90002	1	A將：主公，不好了，又有黃巾軍殺來，這次感覺他們個個驍勇無比，刀槍不入啊！	-1	1	我：莫非又是僵屍軍團？	-4	2	蔡文姬：張角邪術太厲害，我們還是且戰且退，和孫將軍他們合攏一處再做打算吧。													
107	0	83	2	龐統：吾來鳳雛龐統，你們聽著，識趣的現在就把蔡文姬交出來，還能給你們留個全屍！	90002	1	A將：主公小心，這些人都異於常人，不懼刀劍啊。	-9	2	諸葛亮：主公小心，不可戀戰，刷掉敵軍與孫權合軍一道再來退敵也不遲。													
108	1	83	2	龐統：今日僥倖讓你們逃了，在我們無敵天軍面前，你們就只能當個縮頭烏龜，哈哈！	-1	1	我：可惡的張角，一天到晚搞些黑魔法出來!泥馬這是點錯技能樹了麼？？？	90002	1	A將：主公，韓信能忍胯下之辱，大丈夫不懼一時之得失。	-1	1	我：等我和孫權會師，一定要把這些扛著保護罩的傢夥給一個個的敲碎了！										
109	0	50	2	孟獲：列位，正面對抗張角無敵軍團的任務就放心交給本王了。你們只管直插他的大營，只要奪回傳國玉璽，他的邪術就難以奏效了！	-1	1	我：想不到孟獲大王居然成了我們的好幫手，真是一入穿越深似海，從此三觀是路人啊。	-9	2	諸葛亮：雖有孟獲的巫法相助，主公也不可大意，張角畢竟是天下第一術士，孟獲能否抵擋得住還是未知。	-1	1	我：不管了，死馬當活馬，我們即刻出戰吧！										
110	0	-1	1	我：天那嚕，這幫黃巾真的是太難對付了，戰鬥力怎麼這麼強？？？	50	2	孟獲：將軍不必擔心，這路上的黃巾主力交給我，你去收拾那幾支小股部隊即刻。	-1	1	我：多虧有你相助了，不然我怕是搞不定這些打了雞血一樣的黃巾軍。													
111	0	60	2	典韋：就算你們贏了我，你們也大勢已去。曹操，董卓，劉備都成了我黃巾的刀下之鬼，你們又能撐的了幾天！	-9	2	諸葛亮：主公，這支部隊好像要回撤去報信，我們不能放跑一個，不然他們給張角報信的話，我們就麻煩大了	-1	1	我：眾將聽令，殺無赦！													
112	1	60	2	典韋：就算你們贏了我，你們也大勢已去。曹操，董卓，劉備都成了我黃巾的刀下之鬼，你們又能撐的了幾天！	-1	1	我：來人，把這個王八蛋給我推出去砍了！不，剮了！誰他媽叫你在我面前提劉備的事兒！我正愁沒有人頭祭拜她呢！	-9	2	諸葛亮：主公，我們還是趕緊偷襲張角大營吧，這路上時間緊。													
113	0	90002	1	A將：主公，孟獲派人傳來書信說張角軍隊之強大超乎意料，他手下有幾員大將因輕敵而陣亡，他的損失很大，望我們能加快速度，他能支撐的時間也不多了。	-9	2	諸葛亮：主公，看來我們得快速強攻，一路上不必戀戰，以殺將闖關為首要目標。	-1	1	我：好，大家加快速度，隨我殺敵！													
114	0	90002	1	A將：主公，孟獲又派人送來十萬火急的信件，說他和孫權都已經快撐不住了，張角攻勢淩厲，他們正在撤退中。	-1	1	我：完了，一旦孟獲頂不住，我們這邊又被張角發現的話，我們所有人就要被張角包圍住了！媽呀，我可不想死在這裏...	-9	2	諸葛亮：趕緊搶了傳國玉璽不就OK了麼？	-6	2	夏侯惇：是啊，大老爺們哭什麼鼻子，咱們殺敵吧！										
115	0	88	2	張角：你們這些反賊，竟然擅闖朕的大營，今天我就要你們碎屍萬段不可	-1	1	我：張角，你給我聽著，你這個渣渣，在老子那個時代，你在歷史書上連一頁的篇幅都沒有，不要以為現在仗著點妖術，就牛逼了，我今天就是來把你打回原形的！	-9	2	諸葛亮：哇塞，主公，你好man哦...	-6	2	夏侯惇：主公純爺們，鐵血真漢子...										
116	1	-1	1	我：張角，這傳國玉璽是神器，你這種精神不正常人品又差的，不配擁有！	88	2	張角：你個小兔崽子，給爺放手！	-9	2	諸葛亮：主公別放手，我來幫你搶！	88	2	張角：你們幾個，別逼我啊...;.										
117	0	88	2	張角：這是什麼鬼地方？怎麼這裏的人都穿的奇裝異服？	-1	1	我：蠢豬，這是1800多年後！我要把你抓起來關進動物園裏，給大家參觀參觀！	88	2	張角：哼哼，就憑你？你也太小看我的能耐了！眾將聽令！													
118	0	-1	1	我：這個張角是什麼鬼？沒有了傳國玉璽怎麼還有這麼厲害的法術？	-9	2	諸葛亮：我擔心他會用邪術傷害這裡的群眾，萬一我們的親朋好友也在上海就麻煩了。	-1	1	我：我來迎敵，你趕緊想辦法！													
119	0	-9	2	諸葛亮：主公，我可以設法再次重啟傳國玉璽的能量，把我們送回三國去，這樣就可以避免這裏無辜百姓受到張角的傷害了。	-6	2	夏侯惇：乾脆叫員警一槍斃了張角算了，我們也還省事。	-9	2	諸葛亮：不可，張角的邪術高深莫測，現代武器未必能傷他，到頭來激怒他禍害這裏的百姓，那後果更嚴重了。	-1	1	我：好吧，我想吸引他的注意力，諸葛亮負責研究下傳國玉璽的機關。										
120	1	88	2	張角：我手下兵多將廣，有的是人馬，看你怎麼對付的了！	-1	1	我：我今天就要在這裏和你決出生死！哪怕我只剩一兵一卒，也誓不甘休。	88	2	張角：哼哼，年輕人，太狂了點吧。													
121	0	-1	1	我：諸葛亮，現在什麼情況？	-9	2	諸葛亮：主公，我讀書少，這個真有點難啊。	-1	1	我：大姐，你別逗我，能快點好麼，哥哥我可是在前面拼命啊！	-6	2	夏侯惇：主公，快點，黃巾軍又來叫陣了！										
122	1	-1	1	我：諸葛亮，快點啊，哥快累死了。	-9	2	諸葛亮：別急，別急，我這個就快了，只是還需要知道開啟機關的位置，翻譯一下暗藏符文的意思，找對符文的正確排列順序，然後再想辦法啟動一下內藏的符印.....反正再有幾個鐘頭就差不多了。	-1	1	我：你妹！諸葛亮坑我啊。													
123	0	88	2	張角：怎麼樣，臭小子，你還有什麼本事？	-1	1	我：哥的本事多的很，其中一項本事就叫：取你狗命！	88	2	張角：別說夢話了，不管我身處何地，我始終是天下第一術士，你能奈我何？	-1	1	我：少說大話，弟兄人，沖啊										
124	0	-1	1	我：諸葛亮，你再搞不好的話，我可就頂不住了！	-9	2	諸葛亮：主公放心，很快了，只需再給我半個鐘頭，我一定能讓時空再倒轉回三國的赤壁！	-1	1	我：Are you sure？	-6	2	夏侯惇：快拿傢伙，張角又帶人殺過來了！										
125	1	88	2	張角：怎麼突然天就黑了？還電閃雷鳴的？	-1	1	我：哈哈，我們也能掌控傳國玉璽了，張角，你顫抖吧！	-9	2	諸葛亮：主公，時空之門又要開啟了，大家小心點！	88	2	張角：怎，怎麼可能！										
126	0	-1	1	我：這時空穿越搞的我都要吐了，諸葛亮啊，下次可以不要頭先著地麼？	-9	2	諸葛亮：主公，我已經盡力了，我也快吐了....	88	2	張角：你們幾個，吐夠了沒有？吐夠了就趕緊起來打。													
127	1	-9	2	諸葛亮：主公，我明顯感覺到這次穿越回來，張角的邪術已經不起作用了！	-1	1	我：是啊，之前有的小兵怎麼砍也砍不動，現在居然一刀成了兩截。	-9	2	諸葛亮：決戰的時機已經到了，我們當趁熱打鐵，一舉剷除張角。													
128	0	-1	1	我：我感覺這應該是最後一戰了，我們集結全部人馬，一鼓作氣，誅殺張角！	-7	2	張飛：這種歷史性的時刻，肯定少不了我張飛啊！	-6	2	夏侯惇：我身材好，上鏡好看，讓我當先鋒吧	-9	2	諸葛亮：人家還沒打過頭陣，也想試試。	-8	2	張遼：主公，我還有我呢，別忘了我啊！	-1	1	我：也好，那就來個四大美人戰張角吧！				
129	0	88	2	張角：就算沒了神法護體，我手下還有戰將無數，你們也終究難逃一劫。	-9	2	諸葛亮：拼法術，我雖然一時贏不了你，但是比智商，我可是從小到大都是三好學生+班幹部+課代表+學習文員+全額獎學金！哼哼	-7	2	張飛：諸葛亮姐，關鍵時刻，能不這麼逗比麼？張角這種一千多年前來的土包子能聽得懂你說的麼？	88	2	張角：誰去把這幾個長舌婦給我抓來？！！										
130	0	-9	2	諸葛亮：主公，孫權、孟獲的部隊正在趕來的路上，我們只要能拖住張角，就可以包圍他，一舉消滅這個惡棍！	-1	1	我：好極了，我想辦法激怒張角，讓他把部隊全派出來對付我們，這樣援軍一到，就可以從背後殺他個措手不及了。	-9	2	諸葛亮：主公此計甚妙，只是有點陰哦，嘻嘻……	-1	1	我：量小非君子無毒不丈夫嘛：p										
131	1	88	2	張角：邪門了，居然連輸幾場，還被你這個臭小子，斬了我三員大將！	-1	1	我：你本來就不行，打仗全靠開掛作弊，靠點下三濫的小法術，使點陰招來取勝。要說真刀真槍來幹，你還比過我們這裏隨便一個無名小卒呢！	88	2	張角：黃口孺子，休要倡狂！													
132	0	-7	2	張飛：張角老鬼，你自己不出來應戰，盡派些替死鬼出來，姑奶奶我真是不痛快！	-6	2	夏侯惇：縮頭烏龜一樣，還吹什麼天下第一術士，我呸呸呸！	90014	2	黃巾：大膽妖婦，居然敢辱我天公將軍威名！先吃我一刀再說！	-8	2	張遼：那就看看咱兩的刀，到底誰更快了！										
133	0	-7	2	張飛：沒想到這一穿越，整個三國的歷史都改寫，我們幾個妹子倒是拿下了不少人頭。	-6	2	夏侯惇：以前看到殺雞都要暈，如今殺人都不眨眼，我發起狂來真的是自己都怕呢。	-9	2	諸葛亮：那咱們姐妹幾個就要賭一把，看看張角死誰手裏！	-8	2	張遼：賭什麼？誰贏了就先把主公推到麼？要是這樣，我先戰一陣啦，哈哈！										
134	0	90002	1	A將：主公，孫權將軍和孟獲大王的隊伍已經到營外十裏了，他們還差快馬送信過來，都說要親手斬了張角，以解心頭之恨。	-9	2	諸葛亮：那可不行，這種歷史性的時刻，肯定是我們自己來搞定的，要不然怎麼名垂史冊？	-6	2	夏侯惇：對啊，老娘就可以幹翻張角了。	-7	2	張飛：那還廢話什麼，趕緊去砍人吧！										
135	0	-1	1	我：張角，你四周全是我們的人馬，你已經插翅難飛了！我手下四大美女，啊，不不不，四員大將，會賞你一個痛快的！	88	2	張角：我還有數萬精兵在手，就算你圍住我，我也能殺你個片甲不留！	-6	2	夏侯惇：主公，這老頭死到臨頭還這麼嘴硬，讓我去收拾他吧！	-9	2	諸葛亮：勝負成敗，在此一舉，不過大家還是不可大意，張角困獸猶鬥，要千萬小心！	-7	2	張飛：哈哈，殺張角，隨我來吧！							
136	1	-1	1	我：沒想到一代魔頭張角居然死在了我們的手裏！他的人頭呢？	-7	2	張飛：已經砍下來示眾了，從此天下應該太平了！	-9	2	諸葛亮：那可未必，天下大勢分久必合合久必分，沒了張角，也還有別人想要稱王稱帝啊。	-1	1	我：諸葛亮，傳國玉璽能讓我們穿越回去麼？我想，我們的使命是不是到這裏就完成了.....										
137	0	-12	2	神秘人：輪回之門突然逆轉，次序法制破滅，魔神名將將再一次重生，你們的實世界已被完全禁錮，找到隱藏在三國的最終魔王，才能拯救這個世界.	-1	1	我：尼瑪，這是在逗我？說好的三國怎麼變魔幻了？	-12	2	神秘人：沒時間解釋了，護盾即將解除，敵人馬上復蘇，你們好自為之.往東走，西川有你們需要的東西…	85	2	董卓：哎喲，我的腰啊，誰TM這麼不長眼啊，大爺我剛搭好的草屋就被砸踏啦，來人啊，趕快把這群人拉下去砍了。	-1	1	我：我靠，玩大了，落到董胖子地盤了？							
138	0	-1	1	我：哎喲，那個神秘老頭也太損了，這麼把我們丟到董胖子的地盤來了，差一點就被董胖子給弄洗白了。	-7	2	張飛：主公，董卓手下太猛了，戰鬥力完全爆表啊，哎呀，這麼兇殘叫奴家這麼打，他們又追上來啦。	104	2	賈詡：前方逃跑的敵將聽著，我乃毒士賈詡，你們不要做無謂的抵抗了，快快下馬受降。	-1	1	我：哈哈哈，逃命要緊嘛，你們沒看見董胖子追得那麼捉急莫。										
139	0	-1	1	我：孔明，你知道西川這麼去嗎？神秘人說西川有我們想找的東西。	90002	1	A將：主公，若去西川的話末將可以領路，我娘舅就是西川的，而且劉璋最寵的文臣就是我舅舅張松。	-9	2	孔明：西川天險，若沒一個信得過的人帶路還是真不行，還好我們有可愛的A將小弟。	-7	2	張飛：就是就是，那我們趕緊走吧，免得一會董胖子又追來了。										
140	0	90002	1	A將：主公，據投降敵兵交代，前方不遠處發現寶庫，裏面發現大量珠寶，但有董卓手下猛將高順守衛。	-1	1	我：納尼，財寶?居然有這等好事。	90002	1	A將：是的，大部分財寶已被運走，還剩餘一小部分，所以看守人並不多	-7	2	張飛：那還廢話什麼，趕緊把人砍了，拿錢走人啊。										
141	0	57	2	高順：前方何人，此處乃寶庫重地，閑雜人等趕緊閃開，否則別怪某手中長劍不留情面。	-1	1	我：高順將軍，要不你來我方部隊，珠寶、美女隨便挑。	57	2	高順：無知狂徒，你家高將軍豈是見異思遷之人，還不快速速下馬受降。													
142	0	-1	1	我：唉，高將軍乃當世名將，卻因跟錯了主公才落得這般下場。	57	2	高順：大丈夫堂堂七尺男兒，要殺便殺，何須廢話。	-1	1	我：放了高將軍他吧!我和高將軍並沒什麼深仇大恨，古人雲，和氣生財嘛。	57	2	高順：就算爾等放了高某，高某也不會感激，它日相遇必將重分高下。										
143	0	85	2	董卓：哪里來的野小子，也想誘騙我愛將，前些日子砸我茅屋的事還沒算清楚，現在又來搶奪我的珠寶。	90002	1	A將：主公，不好啦，我們被包圍啦。	-9	2	孔明：還好主公英明，料定了董卓必來堵截搶奪財物，我已吩咐張飛妹紙帶著珠寶先行一步。	-1	1	主公：我們多拖延下時間，免得逃跑時，讓他們追上了運輸珠寶的隊伍。										
144	1	-1	1	我：董胖子，你好好檢查下你搶奪的財寶箱子呢，會有驚喜哦！	85	2	董卓：打開寶箱，讓吾好好看看。	104	2	賈詡：主公，不好了，寶箱裏面珠寶全部不見了，這些的寶箱都是裝的石頭。													
145	0	-1	1	我：前方就是西川了，大家小心點，這一路總有被獵物窺視的感覺，心裏陣陣發涼。	50	2	孟獲：哈哈哈，等你們很久了，來吧，讓我見識一下被選中的天命之子到底有什麼能耐。	-9	2	孔明：不好，我們已經被包圍了，看來今天又要上演一場火燒藤甲兵的好戲，大家用火攻，對方怕火。													
146	0	41	2	魏延：我魏文長來也，孟獲小兒不可傷了我家主公貴客。	50	2	孟獲：劉璋小兒也想淌這攤渾水？我勸你們最好掂量掂量自己的實力。	41	2	魏延：廢話少說，看刀。	90002	1	A將：還好趕上了，主公，還好孔明小姐，讓我快馬加鞭，早一步趕到了成都。										
147	0	-1	1	我：哈哈，文長將軍果然名不虛傳，真是風流倜儻、神功蓋世啊，居然把孟獲大軍打得大敗。	41	2	魏延：將軍客氣，奉我叫主公劉璋之命，前來接應將軍。	-10	2	祝融：哎喲，我當是誰呢，這不是大名鼎鼎的魏文長將軍嗎？你打傷我家蠻王意欲何為呢？	-7	2	張飛：還哎喲，我呸，一看你就是狐狸精，要戰就戰，還賣什麼騷。										
148	0	-1	1	我：這麼漂亮的妹紙，怎麼就成了孟獲那個醜八怪的媳婦呢。	-9	2	孔明：到現在了你還有心思想這個，看張飛妹紙和文長將軍2個人一起居然只能和這祝融打成平手。	-9	2	孔明：主公，我們還是且戰且退吧，此處不宜久留。													
149	0	55	2	陳宮：來了就不要走了，我手下2員大將居然都不能將天命之子請動，看來是有點手段。	-1	1	我：陳宮？三國裏面為數不多頂級謀士之一，這下麻煩了。	-7	2	張飛：怕什麼怕，一個文弱書生而已，還能把姑奶奶這麼著。													
150	0	-9	2	孔明：不好，張飛妹紙有危險。	-9	2	孔明：陳宮，別欺人太甚，讓我諸葛孔明來陪你玩一玩，張飛妹紙回來。	55	2	陳宮：哈哈，陳某久仰臥龍之名，今日得見果然非同一般。	-7	2	張飛：孔明姐姐小心，它應該會使用邪惡妖法。										
151	0	55	2	陳宮：孔明不愧是孔明，果然有些手段，看來我不拿點實力出來，今天還真沒辦法帶著天命之子了。	-1	1	我：你很煩誒！沒完沒了，要打便打。	-1	1	我：哎喲，救命啊，你要打去和他們打，哪有直接攻擊主將的，孔明救救我。													
152	0	55	2	陳宮：孟獲、祝融啟用魔化合體，召喚魔神殘念，將他們一併魔殺。	-1	1	我：..變形金剛？還能合體？能雙修不呢？	-9	2	孔明：主公，我有種不好的預感，我能感受到周圍的植物正在快速衰亡，死亡之氣越來越重。	-7	2	張飛：孔明姐姐，別嚇人，人家最怕這些了…										
153	1	55	2	陳宮：不，不可能…魔神殘念這麼會被消亡，我一定是看花眼了。	-1	1	我：哎喲，哎喲，我頭好痛，我靠，為什麼我衣服破了？	-7	2	張飛：哇，主公，你好帥，剛剛簡直是天神下凡啊，那個什麼狗屁魔神幾下就被你KO了，太酷了。	-1	1	我：我？怎麼可能，上次穿越就沒這能力，這次新出現的?難度我和玄幻小說主角一樣，擁有主角光輝了？	-9	2	孔明：主公這個事情我們稍後再說，我們還是先去成都在慢慢詳談吧，這裏太過危險。							
154	0	33	2	劉璋：將軍真要去古陣祭壇？可知道有許多勇士前去探索，至此均無一人生還。	-1	1	我：沒辦法不去，這次西川之行的目的就是為了尋找答案而來。	-1	1	我：而按照你們所描述的古陣祭壇出現情況，應該和輪回門逆轉有關系。	-9	2	孔明：主公，說得對，古陣祭壇就是第一條線索。										
155	0	-1	1	我：孔明妹紙，這裏面建築格局這麼感覺像一種陣法，而陣法下麵總感覺壓制著什麼。	-9	2	孔明：這就是一座大型的八卦陣，而且陣中夾雜著一些我都看不懂的陣法。	-1	1	我：我去，居然還是諸葛孔明看不懂的陣法，按理說不應該在這個時代出現。	-7	2	張飛：不好，感覺周圍有什麼東西正在向我們靠近。										
156	0	83	2	龐統：幾千年了，我已經整整被困在這裏幾千年，終於等到你了---天命之子。	-1	1	我：幾千年?幾千人早就應該是現代了，這麼可能還在三國呢？	83	2	龐統：此事說來話長，我們能夠出去我在和你們詳談，現在你們還是先想辦法解決下眼前的危機吧。	61	2	許褚：哈哈哈，千年等待，終於只差一步，天命之子拿命來。										
